codigo,descripcion,marca,novedad,observaciones
10210,Camiseta Básica Manga Corta,Premium,true,Modelo clásico disponible en varios colores
10211,Pantalón Denim Clásico,Premium,false,Azul oscuro corte recto
10212,Blusa Elegante,Elegance,true,Diseño moderno con detalles
10213,Falda Midi,Elegance,false,Largo midi cintura alta
10214,Chaqueta Casual,Urban,true,Perfecta para cualquier ocasión
10215,Vestido Casual,Urban,false,Cómodo y versátil
10216,Shorts Deportivos,Sport,true,Material transpirable
10217,Sudadera Básica,Sport,false,Ideal para clima frío
10218,Polo Ejecutivo,Executive,true,Profesional y elegante
10219,Pantalón Ejecutivo,Executive,false,Corte formal
